starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 08 23:23:57 2023	1699475037	0	6	6	6
Wed Nov 08 23:24:05 2023	1699475045	0	6	6	6
Wed Nov 08 23:24:04 2023	1699475044	0	6	6	6
Wed Nov 08 23:24:02 2023	1699475042	0	6	6	6
Wed Nov 08 23:24:01 2023	1699475041	0	6	6	6
Wed Nov 08 23:23:37 2023	1699475017	0	6	6	6
Wed Nov 08 23:24:00 2023	1699475040	0	6	6	6
Wed Nov 08 23:24:12 2023	1699475052	0	6	6	6
Wed Nov 08 23:22:54 2023	1699474974	0	6	6	6
Wed Nov 08 23:23:45 2023	1699475025	0	6	6	6
Wed Nov 08 23:24:18 2023	1699475058	0	6	6	6
Wed Nov 08 23:24:18 2023	1699475058	0	6	6	6
Wed Nov 08 23:22:49 2023	1699474969	0	6	6	6
Wed Nov 08 23:23:57 2023	1699475037	0	6	6	6
Wed Nov 08 23:22:46 2023	1699474966	0	6	6	6
Wed Nov 08 23:23:38 2023	1699475018	0	6	6	6
Wed Nov 08 23:23:51 2023	1699475031	0	6	7	6
Wed Nov 08 23:23:59 2023	1699475039	0	6	7	6
Wed Nov 08 23:23:01 2023	1699474981	0	6	7	6
Wed Nov 08 23:24:13 2023	1699475053	0	6	7	6
Wed Nov 08 23:23:37 2023	1699475017	0	6	7	6
Wed Nov 08 23:23:45 2023	1699475025	0	6	7	6
Wed Nov 08 23:24:13 2023	1699475053	0	7	7	6
Wed Nov 08 23:23:11 2023	1699474991	0	6	7	6
Wed Nov 08 23:23:57 2023	1699475037	0	6	7	6
Wed Nov 08 23:23:03 2023	1699474983	0	6	7	6
Wed Nov 08 23:22:57 2023	1699474977	0	6	7	6
Wed Nov 08 23:23:07 2023	1699474987	0	7	7	6
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	6
Wed Nov 08 23:22:47 2023	1699474967	0	7	7	6
Wed Nov 08 23:24:13 2023	1699475053	0	7	7	6
Wed Nov 08 23:22:48 2023	1699474968	0	7	7	7
Wed Nov 08 23:22:50 2023	1699474970	0	7	7	6
Wed Nov 08 23:24:11 2023	1699475051	0	7	7	6
Wed Nov 08 23:24:11 2023	1699475051	0	7	7	6
Wed Nov 08 23:24:02 2023	1699475042	0	7	7	6
Wed Nov 08 23:24:06 2023	1699475046	0	7	7	7
Wed Nov 08 23:22:50 2023	1699474970	0	7	7	6
Wed Nov 08 23:23:41 2023	1699475021	0	7	7	6
Wed Nov 08 23:24:08 2023	1699475048	0	7	7	6
Wed Nov 08 23:22:47 2023	1699474967	0	7	7	6
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	7
Wed Nov 08 23:24:10 2023	1699475050	0	7	7	6
Wed Nov 08 23:23:41 2023	1699475021	0	7	7	7
Wed Nov 08 23:22:59 2023	1699474979	0	7	7	6
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	6
Wed Nov 08 23:24:05 2023	1699475045	0	7	7	7
Wed Nov 08 23:24:16 2023	1699475056	0	7	7	7
Wed Nov 08 23:23:56 2023	1699475036	0	7	7	6
Wed Nov 08 23:23:08 2023	1699474988	0	7	7	6
Wed Nov 08 23:24:13 2023	1699475053	0	7	7	6
Wed Nov 08 23:22:47 2023	1699474967	0	7	7	6
Wed Nov 08 23:23:01 2023	1699474981	0	7	7	7
Wed Nov 08 23:22:54 2023	1699474974	0	7	7	6
Wed Nov 08 23:22:46 2023	1699474966	0	7	7	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	7	7
Wed Nov 08 23:22:51 2023	1699474971	0	7	7	7
Wed Nov 08 23:24:06 2023	1699475046	0	7	7	7
Wed Nov 08 23:23:51 2023	1699475031	0	7	7	7
Wed Nov 08 23:23:12 2023	1699474992	0	7	7	6
Wed Nov 08 23:24:18 2023	1699475058	0	7	7	7
Wed Nov 08 23:23:51 2023	1699475031	0	7	7	7
Wed Nov 08 23:23:06 2023	1699474986	0	7	7	6
Wed Nov 08 23:24:09 2023	1699475049	0	7	7	5
Wed Nov 08 23:24:04 2023	1699475044	0	7	7	7
Wed Nov 08 23:23:20 2023	1699475000	0	7	7	6
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	6
Wed Nov 08 23:22:58 2023	1699474978	0	7	7	7
Wed Nov 08 23:24:01 2023	1699475041	0	7	7	6
Wed Nov 08 23:23:09 2023	1699474989	0	7	7	7
Wed Nov 08 23:23:50 2023	1699475030	0	7	7	7
Wed Nov 08 23:24:08 2023	1699475048	0	7	7	6
Wed Nov 08 23:23:08 2023	1699474988	0	7	7	7
Wed Nov 08 23:23:16 2023	1699474996	0	7	7	7
Wed Nov 08 23:23:11 2023	1699474991	0	7	7	6
Wed Nov 08 23:24:04 2023	1699475044	0	7	7	7
Wed Nov 08 23:22:49 2023	1699474969	0	7	7	6
Wed Nov 08 23:23:52 2023	1699475032	0	7	7	6
Wed Nov 08 23:24:18 2023	1699475058	0	7	7	7
Wed Nov 08 23:24:01 2023	1699475041	0	7	7	6
Wed Nov 08 23:24:07 2023	1699475047	0	7	7	7
Wed Nov 08 23:24:10 2023	1699475050	0	7	7	7
Wed Nov 08 23:23:13 2023	1699474993	0	7	7	7
Wed Nov 08 23:22:51 2023	1699474971	0	7	7	7
Wed Nov 08 23:23:27 2023	1699475007	0	7	7	7
Wed Nov 08 23:23:49 2023	1699475029	0	7	7	6
Wed Nov 08 23:23:01 2023	1699474981	0	7	7	6
Wed Nov 08 23:24:08 2023	1699475048	0	7	7	7
Wed Nov 08 23:24:18 2023	1699475058	0	7	7	7
Wed Nov 08 23:22:49 2023	1699474969	0	7	7	7
Wed Nov 08 23:22:51 2023	1699474971	0	7	7	7
Wed Nov 08 23:22:50 2023	1699474970	0	7	7	7
Wed Nov 08 23:23:25 2023	1699475005	0	7	7	7
Wed Nov 08 23:22:52 2023	1699474972	0	7	7	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	7	7
Wed Nov 08 23:24:11 2023	1699475051	0	7	7	7
Wed Nov 08 23:23:08 2023	1699474988	0	7	7	6
Wed Nov 08 23:24:18 2023	1699475058	0	7	7	7
Wed Nov 08 23:23:45 2023	1699475025	0	7	7	7
Wed Nov 08 23:22:46 2023	1699474966	0	7	7	7
Wed Nov 08 23:24:06 2023	1699475046	0	7	7	7
Wed Nov 08 23:22:53 2023	1699474973	0	7	7	7
Wed Nov 08 23:23:54 2023	1699475034	0	7	7	7
Wed Nov 08 23:22:51 2023	1699474971	0	7	7	7
Wed Nov 08 23:23:19 2023	1699474999	0	7	7	7
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	7
Wed Nov 08 23:22:50 2023	1699474970	0	7	7	7
Wed Nov 08 23:22:47 2023	1699474967	0	7	7	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	7	7
Wed Nov 08 23:24:07 2023	1699475047	0	7	7	7
Wed Nov 08 23:23:51 2023	1699475031	0	7	7	7
Wed Nov 08 23:24:03 2023	1699475043	0	7	7	7
Wed Nov 08 23:22:56 2023	1699474976	0	7	7	6
Wed Nov 08 23:23:10 2023	1699474990	0	7	7	7
Wed Nov 08 23:24:00 2023	1699475040	0	7	7	7
Wed Nov 08 23:22:47 2023	1699474967	0	7	7	7
Wed Nov 08 23:23:40 2023	1699475020	0	7	7	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	7	7
Wed Nov 08 23:24:10 2023	1699475050	0	7	7	7
Wed Nov 08 23:24:12 2023	1699475052	0	7	7	7
Wed Nov 08 23:23:01 2023	1699474981	0	7	7	7
Wed Nov 08 23:23:07 2023	1699474987	0	7	7	7
Wed Nov 08 23:22:57 2023	1699474977	0	7	7	7
Wed Nov 08 23:24:17 2023	1699475057	0	7	7	7
Wed Nov 08 23:23:05 2023	1699474985	0	7	7	7
Wed Nov 08 23:22:58 2023	1699474978	0	7	7	7
Wed Nov 08 23:23:12 2023	1699474992	0	7	7	7
Wed Nov 08 23:22:58 2023	1699474978	0	7	7	7
Wed Nov 08 23:23:52 2023	1699475032	0	7	7	7
Wed Nov 08 23:23:51 2023	1699475031	0	7	7	6
Wed Nov 08 23:24:12 2023	1699475052	0	7	7	7
Wed Nov 08 23:24:11 2023	1699475051	0	7	7	7
Wed Nov 08 23:23:37 2023	1699475017	0	7	7	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	7	7
Wed Nov 08 23:23:08 2023	1699474988	0	7	7	7
Wed Nov 08 23:23:42 2023	1699475022	0	7	7	7
Wed Nov 08 23:24:01 2023	1699475041	0	7	7	7
Wed Nov 08 23:23:16 2023	1699474996	0	7	7	7
Wed Nov 08 23:22:57 2023	1699474977	0	7	8	7
Wed Nov 08 23:23:08 2023	1699474988	0	7	8	7
Wed Nov 08 23:24:00 2023	1699475040	0	7	8	7
Wed Nov 08 23:23:07 2023	1699474987	0	7	8	7
Wed Nov 08 23:23:51 2023	1699475031	0	7	8	7
Wed Nov 08 23:24:15 2023	1699475055	0	7	8	7
Wed Nov 08 23:23:16 2023	1699474996	0	7	8	7
Wed Nov 08 23:23:42 2023	1699475022	0	7	8	7
Wed Nov 08 23:24:14 2023	1699475054	0	7	8	7
Wed Nov 08 23:23:58 2023	1699475038	0	7	8	7
Wed Nov 08 23:24:03 2023	1699475043	0	7	8	7
Wed Nov 08 23:23:53 2023	1699475033	0	7	8	6
Wed Nov 08 23:24:10 2023	1699475050	0	7	8	7
Wed Nov 08 23:24:02 2023	1699475042	0	7	8	7
Wed Nov 08 23:23:03 2023	1699474983	0	7	8	7
Wed Nov 08 23:23:42 2023	1699475022	0	7	8	7
Wed Nov 08 23:22:48 2023	1699474968	0	7	8	7
Wed Nov 08 23:24:16 2023	1699475056	0	7	8	7
Wed Nov 08 23:23:02 2023	1699474982	0	7	8	7
Wed Nov 08 23:22:47 2023	1699474967	0	8	8	8
Wed Nov 08 23:23:45 2023	1699475025	0	7	8	7
Wed Nov 08 23:22:49 2023	1699474969	0	8	8	7
Wed Nov 08 23:23:58 2023	1699475038	0	8	8	7
Wed Nov 08 23:23:04 2023	1699474984	0	8	8	8
